"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"44",63,62,48.1603111048988,13223,-0.172890454831203,12956.6,266.4,0,2,"none",81.4,185.2,0.305326331582896,0.694673668417104
"45",64,63,61.6772343043946,13333.4,1.1003852029645,13223,110.4,1,4,"none",27.4,83.2,0.247739602169982,0.752260397830018
"46",66,65,51.8073541169019,13755,-0.150600442446669,13333.4,421.6,NA,NA,"none",119.4,302.4,0.283072546230441,0.716927453769559
"47",67,66,42.4571795250558,13970.2,-0.183538122985582,13755,215.200000000001,1,2,"none",73.2,142.2,0.33983286908078,0.66016713091922
"48",68,67,35.0151954341028,14140.6,-0.144796659109152,13970.2,170.4,0,4,"none",77.4,93.2,0.45369284876905,0.54630715123095
"49",69,68,57.1180915003815,14243,1.18384090145995,14140.6,102.4,1,5,"none",31.6,71,0.307992202729045,0.692007797270955
"50",71,70,63.0236762364216,14590.2,-0.146851172949381,14243,347.200000000001,0,3,"none",169.2,178.2,0.487046632124352,0.512953367875648
"51",72,71,51.2593923244824,14851,-0.189580503155486,14590.2,260.799999999999,0,2,"iremove this dive (part of previous dive",38.4,222.6,0.147126436781609,0.852873563218391
"52",73,72,14.8659392284135,14952.6,-0.14917696622252,14851,101.6,NA,NA,"none",68.6,33.2,0.673870333988212,0.326129666011788
"53",74,73,49.1540475736406,15322.2,-0.133710426863798,14952.6,369.6,0,5,"none",121.4,248.4,0.328285559762034,0.671714440237966
"54",75,74,46.2014551752154,15771,-0.162329565377912,15322.2,448.799999999999,0,5,"none",113.8,335.2,0.253452115812918,0.746547884187082
"55",76,75,46.0606869311771,16118.2,-0.119479805611916,15771,347.200000000001,1,3,"none",110.4,237,0.317789291882556,0.682210708117444
"56",77,76,58.1301502107311,16347.8,-0.133318129989488,16118.2,229.599999999999,1,4,"none",116.8,113,0.508268059181897,0.491731940818103
"57",78,77,51.97164935031,16899,-0.153763179678198,16347.8,551.200000000001,1,6,"none",183.2,368.2,0.332245194051505,0.667754805948495
