,X,ans,p,tempr,pitch,roll,head,flownoise,Aw1,Aw2,Aw3,pnorm,speedFN,speedSP,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
120343,120343,0.636378245,8.116145248,5.607076775,123.6177145,-33.35482965,-124.9089341,-65.2302455,0.636378245,-0.187542425,0.284911518,0.123782547,2.537096397,NA,120343,24068.6,-2.725977022,12.07327706,113,lunge,3.867796609,12.54118708,2.833344566,1,2.003704448,8.673390468,mn13_111a,4/21/2013 15:25,57.742326,-135.25701
122362,122362,1.110846737,27.64586989,5.183557705,143.6823638,-28.02510511,-88.120278,-57.19278066,1.110846737,-0.171189754,0.321621053,0.421638115,3.069685766,3.300255144,122362,24472.4,1.658018039,8.60930579,114,lunge,5.217120856,31.81035326,3.692133898,1,2.735426062,26.59323241,mn13_111a,4/21/2013 15:32,57.744346,-135.260896
123795,123795,0.928803736,37.56617554,5.686154635,156.224929,-49.68954352,-124.5173482,-62.98006411,0.928803736,-0.149092782,0.12648666,0.572936627,2.687890876,2.455144688,123795,24759,-0.498574177,8.491193321,115,lunge,6.994198656,41.64733171,3.313423333,1.761003359,1.552419974,34.65313306,mn13_111a,4/21/2013 15:37,57.74554,-135.266504
125407,125407,0.944248357,28.36030391,5.588003716,129.2970926,-45.205258,-32.02745943,-61.25465089,0.944248357,-0.31747813,0.315211555,0.432534232,2.615963417,2.621257707,125407,25081.4,0.440035317,10.14655887,117,lunge,5.425019568,32.1771138,3.071540473,1.195379679,1.876160794,26.75209424,mn13_111a,4/21/2013 15:42,57.743991,-135.264084
126740,126740,0.601646903,32.67189009,5.624888571,85.79475999,-10.24735382,-58.04105586,-65.97098468,0.601646903,-0.11519054,0.637180089,0.498291941,2.742644291,NA,126740,25348,-1.138734508,13.95310317,119,lunge,5.457161878,36.71705574,3.778807925,1.263320132,2.515487793,31.25989386,mn13_111a,4/21/2013 15:46,57.743947,-135.25855
133057,133057,1.155768529,10.15718964,4.940901542,169.9468283,54.7274356,-129.4586856,-61.03085835,1.155768529,0.082994267,0.058703573,0.154911324,2.87490945,2.845543973,133057,26611.4,1.571325435,12.93443084,123,lunge,4.532896934,14.0999738,2.881825889,1,1.941680401,9.567076867,mn13_111a,4/21/2013 16:08,57.744468,-135.261098
136461,136461,1.069328156,11.41834513,5.256878868,108.1479509,-9.765381988,-77.36595369,-57.61959184,1.069328156,-0.131417833,0.763578458,0.174145706,3.248667551,3.296692037,136461,27292.2,3.143273291,14.95913241,125,lunge,5.193127534,15.0100457,3.45868195,1,2.608691115,9.816918166,mn13_111a,4/21/2013 16:19,57.745286,-135.256371
137984,137984,0.961530299,10.86512499,5.330465748,121.1232347,1.556716292,-109.248286,-60.76153917,0.961530299,0.014741713,0.542443167,0.165708326,2.90421832,2.985470232,137984,27596.8,1.020719553,14.97786446,127,lunge,4.942298927,15.18600836,2.936148707,1,2.06506179,10.24370944,mn13_111a,4/21/2013 16:24,57.744589,-135.253348
144328,144328,1.074135957,11.94685744,5.185472987,132.4990478,-25.66458314,-100.2517137,-59.24242951,1.074135957,-0.204702107,0.426013269,0.182206256,2.784997636,2.924568758,144328,28865.6,1.701688022,10.76964677,133,lunge,3.800170256,16.20413385,3.019690633,1,2.066890906,12.40396359,mn13_111a,4/21/2013 16:45,57.746625,-135.262815
150283,150283,0.910536915,10.90926873,4.86546896,107.3452848,-32.9101137,-52.68465411,-64.47934388,0.910536915,-0.363768343,0.562082669,0.16638158,2.561786201,3.287629188,150283,30056.6,1.276781435,7.724523592,139,lunge,2.509027467,14.85088772,2.685586931,1.153118644,1.532468287,12.34186026,mn13_111a,4/21/2013 17:05,57.744879,-135.261081
156645,156645,0.824388668,13.94104864,5.112195571,107.6239423,1.167009337,12.46013519,-68.7535883,0.824388668,0.012283121,0.602971731,0.212620456,2.47903569,2.817496106,156645,31329,0.210267951,10.55105902,142,lunge,5.508901905,17.39233777,3.155752824,1,2.359862864,11.88343587,mn13_111a,4/21/2013 17:26,57.748926,-135.268613
157974,157974,0.938481391,7.782082482,5.244289885,142.991146,1.907047556,56.09142685,-68.72040219,0.938481391,0.010452393,0.313918147,0.118687623,2.301115386,NA,157974,31594.8,-0.101528288,6.646821162,144,lunge,5.086406674,11.98310605,2.531689192,1,1.538811129,6.896699377,mn13_111a,4/21/2013 17:31,57.746243,-135.262593
160681,160681,0.547511583,13.10229508,5.200920557,79.16026512,23.23670816,-30.00042885,-63.21725423,0.547511583,0.261295814,0.608571703,0.199828294,2.725382017,NA,160681,32136.2,-1.379753063,14.74177299,147,lunge,5.326947808,16.96065394,3.173090481,1,2.256360847,11.63370613,mn13_111a,4/21/2013 17:40,57.746131,-135.250579
162510,162510,0.947677575,15.30853435,5.30268008,124.8120326,-45.57486262,-16.65555357,-73.61222838,0.947677575,-0.353731361,0.34670349,0.233476523,1.858165579,1.979777844,162510,32502,0.679690177,8.706791373,148,lunge,5.85041679,18.96203171,2.306767406,1.097193078,1.209574328,13.11161492,mn13_111a,4/21/2013 17:46,57.744673,-135.256885
164395,164395,1.265130882,11.96158122,5.223317694,162.6349343,-13.11162422,-46.21451801,-63.83517201,1.265130882,-0.043826648,0.188160863,0.182430815,2.851317538,2.498771645,164395,32879,2.743875361,11.92531585,149,lunge,5.624334581,15.64992074,2.851317538,1.098623806,1.752693732,10.02558616,mn13_111a,4/21/2013 17:52,57.743149,-135.257444
166263,166263,0.154525259,33.68831985,5.336160851,16.44408816,2.960698494,40.70571443,-76.43315209,0.154525259,0.055236361,1.067988839,0.513793914,1.708207978,NA,166263,33252.6,0.789657779,9.260136181,150,lunge,33.2309213,35.1234257,1.855907668,1.403066309,0.45284136,1.892504405,mn13_111a,4/21/2013 17:58,57.742083,-135.255253
168512,168512,0.736447491,31.74187723,5.33475272,106.3929639,-32.81597161,-53.95157526,-61.37190055,0.736447491,-0.298612292,0.463072037,0.484107946,2.994602122,3.299001609,168512,33702.4,-0.7868778,9.072901695,151,lunge,5.797775476,36.76889325,3.109130834,1.334269188,1.774861645,30.97111777,mn13_111a,4/21/2013 18:06,57.744191,-135.254426
177431,177431,0.645229985,13.3758966,5.105494477,92.318344,-30.96723896,-92.46811727,-72.16634568,0.645229985,-0.31883265,0.53131455,0.204001099,2.105874854,NA,177431,35486.2,-1.033829282,9.899201512,157,lunge,2.390773582,16.93348248,2.767199825,1.095388818,1.671811008,14.5427089,mn13_111a,4/21/2013 18:35,57.748897,-135.284264
