"","X","p","tempr","pitch","roll","head","flownoise","Aw1","Aw2","Aw3","speedFN","speedSP","r","sec","MSA","jerk","dive","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"133817",133817,22.3512834100599,5.08154706579549,37.8201148086669,-57.074216232595,174.644192752356,-90.3914966471951,0.308766164804353,-0.75654231855605,0.489912254027405,1.09660089559144,NA,133817,26763.4,-0.463496589366808,5.4238383770412,"112","lunge",12.8998064831299,22.9142695824479,1.94285383286875,1,1.23008097628586,10.014463099318,"mn13_110a"
"135565",135565,17.5369582996374,5.02193811332857,73.8674211488781,-16.288062195527,5.09707338989842,-68.812766983808,0.50899183633489,-0.189899370809958,0.649907838314072,2.4091702447675,2.28640157028193,135565,27113,-1.4998058085354,13.0100827391701,"114","lunge",4.96527654310586,20.8402955117075,2.48623604688063,1.22126995668672,1.26496609019391,15.8750189686016,"mn13_110a"
"135921",135921,20.3165753218989,5.00004068255875,103.65998612437,-54.3306139362229,23.0610413947965,-69.6865842869389,0.766375757304157,-0.489410358008337,0.351280647298081,2.13994134085211,2.17707092539784,135921,27184.2,-0.247040292986662,5.73922045227019,"115","lunge",7.84094564370087,22.3690558387113,2.19195235369261,1,1.34921029737134,14.5281101950104,"mn13_110a"
"136230",136230,20.104717172044,5.06907176780706,119.025117624124,-58.4544423070512,131.708697249339,-69.8477880341592,0.848979257304263,-0.425972774213192,0.261502575390023,2.16591152408827,2.23365236517039,136230,27246,-0.145222329138566,5.00410070030181,"116","lunge",6.01582625166686,22.6573132148765,2.1974477834989,1.10195945166528,1.09548833183362,16.6414869632096,"mn13_110a"
"136537",136537,16.368828523628,5.15185290756406,101.851134519361,-48.4759754333468,-34.3796738327695,-74.6585931099127,0.836655820537403,-0.50858586016687,0.450339076996484,1.96759179212809,2.15412901703859,136537,27307.4,0.762070127878242,5.1848546146002,"117","lunge",5.65691402133672,19.0950231338429,2.1738604980849,1.00088499140111,1.17297550668379,13.4381091125062,"mn13_110a"
"136769",136769,15.7624952215653,5.22832634995365,53.7341776679996,-88.6244872793081,-144.060262846025,-64.4694894637121,0.449515220531509,-0.887050048230228,0.0212997030370999,2.39933544212413,NA,136769,27353.8,-0.0522349866377392,5.25713626557545,"118","lunge",5.95526617365126,17.4465046061873,2.39933544212413,1.07790340669982,1.32143203542431,11.491238432536,"mn13_110a"
"137011",137011,17.5881386441622,5.22031431934498,69.6013418768745,-43.5504071445069,171.965249238437,-65.7206312229539,0.49399110366408,-0.489696087990695,0.515123621192041,2.5327590844033,NA,137011,27402.2,-1.31847570134318,10.5701520526691,"118","lunge",3.85820910500778,21.3918592025601,2.61579150399352,1,1.62031674740138,17.5336500975523,"mn13_110a"
"137349",137349,16.6710569847731,5.32828982866056,117.359921676448,-90.9766789851178,188.829384402523,-66.2488954830609,0.907935185259179,-0.55238801327174,-0.00941706405783202,2.31948351688069,2.78716795350989,137349,27469.8,0.615966772081395,4.5632805250475,"119","lunge",1.97852133045402,19.6239778343019,2.43969030661075,1.05060869303204,1.38908161357871,17.6454565038479,"mn13_110a"
"137675",137675,15.4482830430603,5.37079024279025,70.7676205734412,-93.3017384739511,-153.389952656941,-66.4364458684858,0.608118779043204,-0.854797257080103,-0.0493133223465164,2.28720639839726,NA,137675,27535,0.492287124915724,9.10438293397544,"120","lunge",4.1461053517507,18.1735523099747,2.28720639839726,1.09533244508202,1.19187395331524,14.027446958224,"mn13_110a"
"137983",137983,16.7914814104852,5.29168762649246,148.592944151853,-59.7138581513599,113.173020922743,-71.3614464863326,1.05936970871864,-0.257195060006736,0.150209220238437,2.1347006001478,2.2986987572706,137983,27596.6,0.985015995023368,6.42936923359134,"120","lunge",3.2299944737268,20.5206687102345,2.24964394755609,1.10212832016987,1.14751562738622,17.2906742365077,"mn13_110a"
