"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"59",59,88,87,11.0262845797933,19069.4,-0.185958128536783,18944.6,124.800000000003,0,1,"none",116.2,8.8,0.9296,0.0704
"60",60,89,88,41.1036862135047,19331.8,-0.177009480127885,19069.4,262.399999999998,1,5,"none",139,123.6,0.529322162985529,0.470677837014471
"61",61,90,89,41.3107691806227,19523.8,0.927296070608604,19331.8,192,1,0,"none",35,157.2,0.18210197710718,0.81789802289282
"62",62,91,90,10.0143742384383,19675.8,-0.177395909082425,19523.8,152,0,6,"none",151.8,0.4,0.997371879106439,0.0026281208935611
"63",63,92,91,31.4033788097166,20053.4,-0.16272125204548,19675.8,377.600000000002,2,0,"none",129.6,248.2,0.343038644785601,0.656961355214399
"64",64,93,92,16.2181413895819,20091,-0.132483861526626,20053.4,37.5999999999985,1,NA,"none",19,18.8,0.502645502645503,0.497354497354497
"65",65,94,93,34.6136250764221,20315,0.904090929427491,20091,224,1,0,"none",25.4,198.8,0.113291703835861,0.886708296164139
"66",66,95,94,11.4237220167016,20431,-0.165894924534316,20315,116,0,5,"none",104.6,11.6,0.900172117039587,0.0998278829604131
"67",67,96,95,40.8426104789686,20653.4,1.56887047963821,20431,222.400000000001,1,0,"none",21,201.6,0.0943396226415094,0.905660377358491
"68",68,97,96,10.5698891676604,20818.2,-0.163635133587933,20653.4,164.799999999999,0,5,"none",154.8,10.2,0.938181818181818,0.0618181818181818
"69",69,98,97,38.3631667946039,21202.2,-0.177717047170401,20818.2,384,0,3,"none",90.8,293.4,0.236335242061426,0.763664757938574
"70",70,99,98,39.0894729643174,21451,-0.151078524843509,21202.2,248.799999999999,1,5,"none",130.4,118.6,0.523694779116466,0.476305220883534
"71",71,100,99,37.2766952500964,21707,0.942721036898372,21451,256,1,5,"none",25.4,230.8,0.0991412958626074,0.900858704137393
"72",72,103,102,36.6343112735821,22089.4,1.44155644412552,21707,382.400000000001,1,5,"none",147.6,235,0.385781495033978,0.614218504966022
"73",73,107,106,31.3027240446252,22639,-0.189597615518921,22089.4,549.599999999999,0,4,"none",235.2,314.6,0.427791924336122,0.572208075663878
"74",74,108,107,44.1856715275596,22979,1.50659651311639,22639,340,1,4,"none",25.6,314.6,0.0752498530276308,0.924750146972369
"75",75,112,111,35.9608069324427,23532.6,-0.16392222224983,22979,553.599999999999,1,4,"none",277.2,276.6,0.500541711809318,0.499458288190683
"76",76,113,112,34.4932291206041,23683,1.47142608699676,23532.6,150.400000000001,1,4,"none",25.6,125,0.169986719787517,0.830013280212483
"77",77,116,115,37.0586342116886,24047,0.787704324131181,23683,364,1,6,"none",136.4,227.8,0.374519494783086,0.625480505216914
"78",78,120,119,42.483739083512,24388.6,1.22008525671877,24047,341.599999999999,1,4,"none",168.8,173,0.493856056173201,0.506143943826799
"79",79,123,122,38.5294484979163,24649.4,0.880507033373441,24388.6,260.800000000003,1,5,"none",151,110,0.578544061302682,0.421455938697318
"80",80,126,125,31.2828467320022,25204.6,-0.167627226742974,24649.4,555.199999999997,0,5,"none",247.4,308,0.445444724522866,0.554555275477134
"81",81,127,126,33.3601178688406,25506.2,0.806811270775984,25204.6,301.600000000002,1,5,"none",28.4,273.4,0.0941020543406229,0.905897945659377
"82",82,131,130,40.074925377863,25918.2,1.2916556438764,25506.2,412,1,6,"none",171.4,240.8,0.41581756428918,0.58418243571082
"83",83,134,133,30.7869224675525,26392.6,-0.12045149961971,25918.2,474.399999999998,0,1,"none",202,272.6,0.425621576064054,0.574378423935946
"84",84,135,134,40.3538065635731,26800.6,0.789841240689304,26392.6,408,1,4,"none",39.2,369,0.096031357177854,0.903968642822146
"85",85,138,137,31.7722889034785,27019.8,1.04633529578219,26800.6,219.200000000001,1,0,"none",142,77.4,0.64721969006381,0.35278030993619
"86",86,139,138,11.1418502855415,27164.6,-0.132415665188584,27019.8,144.799999999999,0,6,"none",135.6,9.4,0.935172413793103,0.0648275862068965
"87",87,140,139,39.7230184720999,27451,0.298898437441916,27164.6,286.400000000001,1,4,"none",56.4,230.2,0.196789951151431,0.803210048848569
"88",88,142,141,38.815849410641,27738.2,0.433095033039179,27451,287.200000000001,1,5,"none",121.2,166.2,0.421711899791232,0.578288100208768
"89",89,144,143,33.1409840548488,28163.8,0.838812306026196,27738.2,425.599999999999,1,0,"none",155.8,270,0.365899483325505,0.634100516674495
"90",90,145,144,11.6356730074173,28231,-0.0273339255466816,28163.8,67.2000000000007,0,3,"none",50,17.4,0.741839762611276,0.258160237388724
"91",91,148,147,37.7977953148033,28483,0.819627771697096,28231,252,1,0,"none",84.8,167.4,0.33624107850912,0.66375892149088
"92",92,149,148,19.936991659123,28574.2,-0.0712764999841602,28483,91.2000000000007,0,8,"none",60.8,30.6,0.665207877461707,0.334792122538293
"93",93,151,150,33.4292153079762,28907,0.706152724620092,28574.2,332.799999999999,1,5,"none",143.8,189.2,0.431831831831832,0.568168168168168
"94",94,153,152,35.7912727641841,29219.8,-0.0739411165413986,28907,312.799999999999,1,4,"none",190,123,0.60702875399361,0.39297124600639
"95",95,155,154,36.5830266510241,29583,-0.20282500198505,29219.8,363.200000000001,1,5,"none",124.2,239.2,0.341772151898734,0.658227848101266
"96",96,157,156,30.8519456414553,30047,-0.067284857140163,29583,464,1,3,"none",100.4,363.8,0.216286083584662,0.783713916415338
"97",97,158,157,15.2189949983002,30164.6,0.68014308950292,30047,117.599999999999,0,2,"none",65.8,52,0.558573853989813,0.441426146010187
"98",98,159,158,33.8957066912639,30386.2,-0.118378885138534,30164.6,221.600000000002,0,4,"none",86,135.8,0.387736699729486,0.612263300270514
"99",99,160,159,42.9270626226275,30578.2,0.807269559467106,30386.2,192,1,4,"none",28.6,163.6,0.148803329864724,0.851196670135276
"100",100,162,161,45.4456427280762,31987.6,-0.17676410768019,30578.2,1409.4,0,3,"none",966.6,443,0.685726447219069,0.314273552780931
