"","X.1","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","head2","p2","pitch2","roll2","speedJJ","r","sec","p","MSA","jerk","dive","pitch","roll","head","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"77398",77398,77398,0.637303255092773,-0.299816530159108,0.725739794102312,-35.941325008502,0.197855652861625,119.60813111793,0.68178151443934,-0.391764019899893,5.62017236898321,77398,15479.6,119.60813111793,0.110892476200045,11.9296629606933,"29",78.1264066548236,-22.4464249053431,11.3362938617766,5.62017236898321,"lunge",115.196473985109,120.688098378283,5.63107718061388,2.27940394946887,3.35167323114501,5.49162439317401,"mn12_262b"
"77499",77499,77499,0.124820601346066,-0.380435754434983,1.09835656975316,-39.5244790329865,1.46720933298541,115.198940993985,0.106974065340696,-0.333435678823328,4.87848843257323,77499,15499.8,115.198940993985,1.65790141313076,14.8150408884735,"29",12.2583249227572,-19.1044571356563,84.0649024422686,4.87848843257323,"lunge",112.243449024091,117.401528374727,4.95926898491855,2.72466049373102,2.23460849118753,5.15807935063599,"mn12_262b"
"77662",77662,77662,0.438574184259687,-0.105062980497325,1.14593713999197,-40.4990277987767,-0.460911241870853,116.989447534115,0.364127521335933,-0.091427421300534,4.69427103027151,77662,15532.4,116.989447534115,2.27010100965551,10.9578160401342,"29",41.7259403542176,-5.23840537228508,-26.4082688893333,4.69427103027151,"lunge",112.452632831621,117.115850964087,5.1700285419189,2.09817187263099,3.07185666928791,4.663218132466,"mn12_262b"
"77803",77803,77803,0.699919608223187,0.190217475693682,1.26475371891258,-38.6722850507622,-0.602797770525582,115.580641900478,0.50072878051452,0.149279975568127,5.04549245505055,77803,15560.6,115.580641900478,4.4911366847398,16.5604464583542,"29",57.3792916084291,8.55311256586972,-34.5377681510113,5.04549245505055,"lunge",111.128163599549,115.664143647732,6.61905765766554,1.99339656437214,4.6256610932934,4.53598004818301,"mn12_262b"
"77955",77955,77955,0.71076785505392,0.0544811614414822,1.06605926985979,-38.4195123543635,-0.239489839401382,115.840600467148,0.587440862160753,0.0510607683361505,5.0961188573913,77955,15591,115.840600467148,2.76974875690257,13.1483818813257,"29",67.315764230675,2.92556652435665,-13.7217570339651,5.0961188573913,"lunge",109.470539210996,116.169862025793,5.51759539832304,1.99364753002135,3.52394786830169,6.699322814797,"mn12_262b"
"78112",78112,78112,0.619403618645701,0.00649374956474147,1.14240025349121,-36.5918022644206,1.91054229760101,117.880496702418,0.496824318206595,0.00568424210844344,5.47761548422945,78112,15622.4,117.880496702418,2.93739768390214,8.81967432694875,"29",56.931873185405,0.325683082544354,109.466010233765,5.47761548422945,"lunge",111.347013907962,117.965225084665,6.72532047070727,1.84847689318885,4.87684357751842,6.618211176703,"mn12_262b"
"78252",78252,78252,0.842756008314074,-0.214428155641958,0.753259341482286,-30.9360449195114,2.13286147089014,115.686600274132,0.822019516685284,-0.277331242717104,6.84870906837344,78252,15650.4,115.686600274132,1.4757580885911,19.7585532906567,"29",94.196497966901,-15.8899097348083,122.20396056807,6.84870906837344,"lunge",108.643832781024,116.515263336763,6.84973435729338,2.44083421538766,4.40890014190572,7.871430555739,"mn12_262b"
"78408",78408,78408,-0.123000470245376,-0.00575915952412037,0.872145000874967,-36.5193632381033,-0.0401787348122609,116.396188962278,-0.14010507549535,-0.00660334670298525,5.49331040544596,78408,15681.6,116.396188962278,-1.16900530879118,13.7192454665634,"29",-16.0548590284907,-0.378343896742682,-2.30207193091791,5.49331040544596,"lunge",109.322139489779,116.811431374061,6.79959340900897,2.45232075423397,4.347272654775,7.489291884282,"mn12_262b"
"78555",78555,78555,-0.00476259705966247,-0.121587440087453,0.669584478081593,-33.4817944137903,3.21398534024077,115.440254522194,-0.00699820654289434,-0.179629133385532,6.19355059961633,78555,15711,115.440254522194,-3.13272527360233,15.0964193290242,"29",-0.801935398137368,-10.2919912205835,184.147795412714,6.19355059961633,"lunge",104.705857787254,116.15552608995,6.52683666610945,2.03111858674608,4.49571807936337,11.449668302696,"mn12_262b"
"80081",80081,80081,-0.182824679631393,0.0357598390109868,0.874759051692367,-43.8790970024593,0.302383950530215,126.13935784681,-0.205867158435018,0.0408568953117606,4.10759353049266,80081,16016.2,126.13935784681,-1.03582528203177,14.2071907199851,"30",-23.5906386373552,2.34092766537172,17.325324157874,4.10759353049266,"lunge",123.182500449951,126.304837808464,6.13072085337322,2.03732667545925,4.09339417791397,3.12233735851301,"mn12_262b"
"80268",80268,80268,0.476453209613179,-0.269450320273065,0.772461592690542,-38.0502569507868,3.22371358404219,125.224157174796,0.527366129049808,-0.335623516654832,5.17098937785854,80268,16053.6,125.224157174796,-0.522346613110786,7.89625753143725,"30",60.431706905411,-19.2298110096606,184.70518272461,5.17098937785854,"lunge",122.353502308012,125.807828151378,5.58848435811627,2.09613573151333,3.49234862660294,3.45432584336601,"mn12_262b"
"80423",80423,80423,0.416699624648278,-0.0173083075156701,1.17291846785479,-41.7071805122127,0.530206924047017,125.642187833581,0.341325258159043,-0.0147555450910948,4.47552378100908,80423,16084.6,125.642187833581,2.40125422087291,9.7289508736144,"30",39.1129934674529,-0.845430458134712,30.3786190165075,4.47552378100908,"lunge",119.150425907662,125.642187833581,5.6379185047418,2.19016775298833,3.44775075175347,6.49176192591901,"mn12_262b"
"80587",80587,80587,-0.28971768021482,-0.091660597295553,0.835335136968069,-32.0141978158387,2.67196728067988,124.647092377911,-0.331997952128321,-0.109291886602638,6.56318134882671,80587,16117.4,124.647092377911,-1.08963145386213,20.7467839331056,"30",-38.0441629278783,-6.26196383735354,153.092448180005,6.56318134882671,"lunge",122.44413470687,125.18848144966,6.58075479602836,2.1712380806146,4.40951671541376,2.74434674279,"mn12_262b"
