,X,Temp,Aw.1,Aw.2,Aw.3,pitch,roll,roll2,n2,head,head2,JigRMS,speedFN,speedJJ,speedFNexp,speedSP,rollrate,TspeedFN,TspeedJJ,p,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime, LAT, LON
103572,120071,4.635824469,1.132317798,0.098808527,-0.708473834,115.4354865,-7.939641283,-0.0857413440085621+0i,1,57.13069278,-2.144473961,-22.10128882,3.708743832,3.861183956,4.129409174,NA,0.00069055,3.708743832,3.861183956,42.73936348,103572,20714.4,3.327826167,9.715555392,85,lunge,18.58000521,44.89310053,4.056691465,2.082057829,1.974633636,26.31309532,mn14_113b,4/23/2014 18:19,57.666956,-134.017278
105563,122062,4.710118906,0.709667827,0.065155797,-0.750942112,86.54821007,-4.95887257,0.0489044850825111+0i,1,-80.83464421,1.730761962,-27.99458035,3.069697079,3.036500723,3.039663371,NA,-0.034936098,3.069697079,3.036500723,73.1114943,105563,21112.6,0.345898472,8.613082997,86,lunge,49.90544315,73.87840527,3.953865199,1.16270981,2.791155389,23.97296212,mn14_113b,4/23/2014 18:26,57.666559,-134.023269
105995,122494,4.654812237,1.092703684,0.131600977,-0.697934497,113.9540393,-10.67819183,-0.071652553569613+0i,1,14.04417748,-2.896475516,-19.52924399,3.578182126,4.288064706,3.878844208,NA,0.003960077,3.578182126,4.288064706,56.16274383,105995,21199,2.973761859,10.80425708,86,lunge,37.99049855,57.88014448,3.794158332,1.303727688,2.490430644,19.88964593,mn14_113b,4/23/2014 18:27,57.667607,-134.022801
107816,124315,4.96066673,0.348439651,0.02232461,-0.876403581,43.35070014,-1.459178613,0.020671200145792+0i,1,-171.2311126,0.153045957,-44.61146221,1.839220395,1.542245506,1.685060183,NA,0.019654472,1.839220395,1.542245506,77.64018014,107816,21563.2,-0.555117434,3.594937498,88,lunge,75.25893997,78.41485576,1.917509262,1.493335522,0.42417374,3.15591579,mn14_113b,4/23/2014 18:33,57.667697,-134.023926
114763,131262,4.724111886,1.029596455,0.320979724,-0.305581669,133.4220373,-46.40778865,-0.0479093199614555+0i,1,-30.69774249,2.605815974,-11.88012013,4.52206937,5.857298343,6.098720156,5.984471563,-0.004485835,4.52206937,5.857298343,58.47100645,114763,22952.6,1.185887279,10.8372436,93,lunge,31.36960956,63.63908196,4.568131001,1.323074077,3.245056924,32.2694724,mn14_113b,4/23/2014 18:56,57.670044,-134.021612
116803,133302,4.815828294,0.138764891,-0.083361642,-0.970078097,16.22232205,4.911527568,-0.0733365639162191+0i,1,-15.47925583,2.871428674,-28.66697779,3.050405784,2.954390272,3.011678809,NA,0.115377734,3.050405784,2.954390272,62.95939232,116803,23360.6,-0.161888888,4.415349007,95,lunge,47.30185343,63.9670321,3.170342483,2.099937806,1.070404677,16.66517867,mn14_113b,4/23/2014 19:03,57.670961,-134.028243
122120,138619,4.851565282,1.028978037,0.313226093,-0.098311475,144.6097674,-72.57462465,-0.0456797708981596+0i,1,-74.01299224,1.84982225,-11.85277292,4.520491942,5.863832517,6.094109504,6.144311731,0.013930686,4.520491942,5.863832517,50.71337194,122120,24424,0.78531075,14.84193646,98,lunge,30.19864663,56.9793674,4.520491942,1,3.773446826,26.78072077,mn14_113b,4/23/2014 19:21,57.663332,-134.024412
123029,139528,4.659232981,1.274518908,0.341001558,-0.61270599,122.3631446,-29.09812787,-1.0158350281357+0i,1,38.32312374,-2.472727965,-14.63408206,4.237468827,5.235226421,5.3208269,4.208000489,0.018890543,4.237468827,5.235226421,44.164649,123029,24605.8,4.458871564,11.44662807,98,lunge,18.54439363,48.04275652,4.395153638,1.016677147,3.378476491,29.49836289,mn14_113b,4/23/2014 19:24,57.660428,-134.020774
124650,141149,4.693225652,1.095850313,0.218303617,-0.1622719,152.1199065,-53.37542467,-0.124371848721981+0i,1,21.56643958,-2.765187275,-10.67445089,4.440520395,6.152406527,5.864872348,6.066339144,0.01507791,4.440520395,6.152406527,49.19002903,124650,24930,1.266080798,15.40019623,99,lunge,25.70572815,56.28229786,4.48708779,1,3.743687986,30.57656971,mn14_113b,4/23/2014 19:29,57.659663,-134.013729
125980,142479,4.734388643,0.233098753,0.06454269,-0.719203437,35.78115048,-5.128095594,0.0586787941584111+0i,1,-60.66990559,2.082703044,-12.330299,4.315638432,5.750775867,5.524024799,NA,0.066616516,4.315638432,5.750775867,62.45724135,125980,25196,-2.365513044,11.3097269,100,lunge,33.69664411,64.88616619,4.522951157,1.464829496,3.058121661,31.18952208,mn14_113b,4/23/2014 19:34,57.658475,-134.012467
