v(),X.1,X,ans,p,tempr,pitch,roll,head,flownoise,speedSP,speedFN,Aw1,Aw2,Aw3,r,sec,MSA,jerk,dive,event,min.p,max.p,max.speed,min.speed,delta.speed,delta.p,tag,DateTime,p2,pitch2
54,76325,76325,0.427180437,16.8541855,5.545315644,30.26398644,-7.266206968,-92.79304053,-68.69078218,NA,2.304165127,0.427180437,-0.120321774,1.206610336,76325,15265,2.801166728,12.52857501,100,lunge,5.136964455,17.04051724,2.855763447,1.964577624,0.891185824,11.90355278,mn13_109a,2013-04-19 13:41:00,NA,NA
55,80563,80563,0.328276795,11.59028261,5.7336459,136.8634531,-12.22739603,-112.0682278,-77.84969669,1.527545838,1.498798911,0.328276795,-0.904156995,0.475311379,80563,16112.6,0.715233938,2.935264814,103,lunge,1.114541761,12.6613417,1.601523776,1,0.659525028,11.54679994,mn13_109a,2013-04-19 13:55:00,NA,NA
56,81734,81734,0.269743326,13.95065042,5.604979303,72.15811339,-15.32765319,-134.272014,-71.33562002,NA,1.916245449,0.269743326,-0.470239096,0.865242941,81734,16346.8,0.206374825,8.804995365,104,lunge,3.770995862,15.79482829,1.928585339,1,0.988136389,12.02383243,mn13_109a,2013-04-19 13:59:00,NA,NA
57,82010,82010,0.103007207,12.25817433,5.666540247,97.54161328,-31.98509191,-29.65752877,-68.7448357,NA,1.943387678,0.103007207,-0.711812934,0.749482976,82010,16402,0.380061061,9.371815095,105,lunge,4.884873824,13.12716916,2.218852258,1,1.362636851,8.242295334,mn13_109a,2013-04-19 14:00:00,NA,NA
58,82306,82306,-0.160651447,7.52337532,5.658878703,17.79762628,-37.11949147,163.3262762,-73.92238831,NA,1.693196229,-0.160651447,-0.101083228,0.868978922,82306,16461.2,-1.083961045,5.42612247,105,lunge,3.031701184,8.244474339,1.717510163,1,1.098366215,5.212773156,mn13_109a,2013-04-19 14:01:00,NA,NA
59,82931,82931,0.084404351,15.6201732,5.729337909,106.1000602,-35.72283282,162.4645292,-72.47271916,NA,1.526626996,0.084404351,-0.769891072,0.685437662,82931,16586.2,0.335916084,9.443679544,106,lunge,6.832363465,16.54978129,1.903419786,1,1.15882932,9.71741782,mn13_109a,2013-04-19 14:03:00,NA,NA
60,83395,83395,0.352540017,12.40851526,5.816167756,87.88749414,-13.81481354,36.96772546,-69.15267137,NA,1.975720982,0.352540017,-0.677241835,0.913157526,83395,16679,1.866137701,5.312275964,108,lunge,2.583351208,12.86161653,2.465507688,1.040443566,1.425064122,10.27826533,mn13_109a,2013-04-19 14:04:00,NA,NA
61,83597,83597,0.269518878,11.64252265,5.945677923,7.47590208,-8.748813567,-139.3905621,-74.97081948,NA,1.465570347,0.269518878,0.095419949,0.964702468,83597,16719.4,0.060595604,4.449508797,109,lunge,3.590035797,12.55919154,2.011267654,1,1.154461654,8.969155743,mn13_109a,2013-04-19 14:05:00,NA,NA
62,84233,84233,-0.098806976,14.88304028,6.099134061,86.75906053,-46.03339482,185.2431664,-79.13275714,NA,1.444171347,-0.098806976,-0.710511422,0.789929172,84233,16846.6,0.657451755,2.533751801,111,lunge,4.347843771,15.5756165,1.768298862,1.119192287,0.649106576,11.22777273,mn13_109a,2013-04-19 14:07:00,NA,NA
63,85323,85323,0.10471223,0.544517713,6.084646242,5.018166152,-18.20364653,48.60669986,-79.31044359,NA,1.474116422,0.10471223,0.076911925,0.9792385,85323,17064.6,-0.119446076,3.596859712,125,lunge,-0.088879155,1.864583774,2.085964033,1,1.389936894,1.953462929,mn13_109a,2013-04-19 14:11:00,NA,NA
64,85537,85537,1.064113598,4.962270747,6.093118218,51.99039622,35.67207088,17.83885545,-77.27427988,NA,2.097691668,1.064113598,-0.227851628,0.588819596,85537,17107.4,2.327321506,5.739526563,125,lunge,-0.059810717,5.037157912,2.624078484,1,1.64995233,5.096968629,mn13_109a,2013-04-19 14:12:00,NA,NA
65,85805,85805,-0.707857538,3.166007099,6.222750401,9.673416326,-76.07769917,32.87761793,-66.02383817,NA,2.157565023,-0.707857538,-0.210371545,0.605862996,85805,17161,-0.439433345,3.088358317,125,lunge,-0.102116935,3.687222616,2.17930212,1,1.364126175,3.789339552,mn13_109a,2013-04-19 14:12:00,NA,NA
66,86257,86257,-0.696127408,5.186305879,6.447693022,48.18011369,-82.41390114,192.5976068,-79.60467546,NA,1.387604453,-0.696127408,-0.580526131,0.567336227,86257,17251.4,0.679930368,6.029371212,125,lunge,-0.064587192,5.613340584,1.90259491,1,1.221371477,5.677927776,mn13_109a,2013-04-19 14:14:00,NA,NA
67,86842,86842,-0.808623166,4.608812574,6.663683534,35.86994036,-87.45084783,-17.7068542,-70.33118583,NA,1.751099182,-0.808623166,-0.508458876,0.508816911,86842,17368.4,0.806739402,4.401763544,125,lunge,0.216617935,5.165192255,1.865214297,1,1.110985687,4.94857432,mn13_109a,2013-04-19 14:16:00,NA,NA
68,87397,87397,-0.333680612,2.947740222,6.735267943,-26.05437355,-42.64122931,30.82219111,-67.64247241,NA,2.181377987,-0.333680612,0.209927018,0.837047163,87397,17479.4,-0.733192857,3.575389394,125,lunge,-0.038911101,3.968648445,2.209793605,1,1.292675964,4.007559547,mn13_109a,2013-04-19 14:18:00,NA,NA
69,88092,88092,-0.088602248,7.971441481,6.807747754,81.65639573,-43.78911227,-52.99364508,-70.36414973,NA,1.814710631,-0.088602248,-0.652249726,0.807107605,88092,17618.4,0.406884164,5.819045475,125,lunge,0.628698012,8.444936035,1.987052341,1.075451144,0.911601197,7.816238023,mn13_109a,2013-04-19 14:20:00,NA,NA
70,88468,88468,-0.386780133,6.288101921,6.807165821,39.98338445,-55.40615343,-139.3010669,-73.64685817,NA,1.756809006,-0.386780133,-0.37286307,0.833933675,88468,17693.6,-0.078418028,5.342431925,127,lunge,1.918232055,6.959446078,2.016386795,1,1.043449856,5.041214023,mn13_109a,2013-04-19 14:21:00,NA,NA
71,88738,88738,-0.037580399,11.19541708,6.757269698,71.42238505,-37.76644635,126.2984447,-69.91296122,NA,1.802869802,-0.037580399,-0.479106637,0.754393817,88738,17747.6,-1.034956593,5.825420583,127,lunge,2.496517303,12.32346702,1.881437653,1,0.904772391,9.82694972,mn13_109a,2013-04-19 14:22:00,NA,NA
72,88990,88990,0.140512496,8.781886634,6.777478582,113.3898574,-32.30013645,-46.25070329,-70.23040562,NA,1.756269046,0.140512496,-0.820345188,0.658010872,88990,17798,0.598054516,7.412339044,128,lunge,-0.043959516,10.09835109,1.989780545,1,1.205514372,10.1423106,mn13_109a,2013-04-19 14:23:00,NA,NA
73,89183,89183,-0.209775697,9.336120543,6.777936388,75.65686028,-49.41050905,92.03772928,-75.12367641,NA,1.779141337,-0.209775697,-0.727215557,0.92640927,89183,17836.6,1.924835348,8.169596076,134,lunge,1.020869814,9.626639262,2.094416391,1,1.257271279,8.605769449,mn13_109a,2013-04-19 14:24:00,NA,NA
74,89410,89410,-0.214134688,8.014962317,6.747591212,102.4620474,-64.57828629,-76.93001012,-81.8477676,NA,1.314950531,-0.214134688,-0.869525924,0.596797094,89410,17882,0.746762481,2.967088733,134,lunge,-0.066146357,8.416328764,1.631276136,1,0.702455483,8.482475121,mn13_109a,2013-04-19 14:24:00,NA,NA
75,89599,89599,-0.495823162,5.813806768,6.766588223,10.36575846,-55.69950118,168.0681907,-69.93885257,NA,1.560598347,-0.495823162,-0.140489264,0.880638112,89599,17919.8,0.199503836,4.728320921,134,lunge,0.418322987,5.960002331,1.627744692,1.010110715,0.617633976,5.541679344,mn13_109a,2013-04-19 14:25:00,NA,NA
76,95550,95550,0.511355687,68.40718551,5.669723531,41.94556588,4.531265935,70.42785469,-55.12820797,NA,3.282657653,0.511355687,-0.152180315,0.826984621,95550,19110,-0.155456188,11.6041201,136,lunge,64.46378942,68.76666784,3.599122246,2.050002979,1.549119266,4.302878422,mn13_109a,2013-04-19 14:45:00,NA,NA
77,98238,98238,0.303874511,-0.034404505,5.790351769,-94.56960474,45.10179056,-143.4632814,-65.21622296,NA,3.178656166,0.303874511,0.632599698,0.113068205,98238,19647.6,-2.835601173,43.54822793,137,lunge,-0.086047941,2.023147029,3.481894156,1.800977896,1.68091626,2.10919497,mn13_109a,2013-04-19 14:54:00,NA,NA
78,102469,102469,0.343842028,58.02328863,5.744922767,-63.54743547,12.23007296,4.15406689,-61.18217256,NA,2.744122722,0.343842028,0.683092335,0.609039495,102469,20493.8,-0.219318749,12.59815683,139,lunge,51.82833622,59.0395758,4.100216576,1.986663399,2.113553177,7.211239578,mn13_109a,2013-04-19 15:08:00,NA,NA
79,104349,104349,0.042010002,24.6160798,6.098977476,-43.63479562,-14.78205504,199.9353919,-62.12280338,NA,2.638212053,0.042010002,0.424140305,0.768504772,104349,20869.8,-1.188733465,13.61252579,141,lunge,20.98858516,25.26706717,3.915352829,1,2.950287765,4.278482008,mn13_109a,2013-04-19 15:14:00,NA,NA
80,108215,108215,0.68260554,13.41942412,5.582412059,78.82454425,3.24253927,65.43721078,-49.06742167,NA,4.125604352,0.68260554,-0.623857591,1.002860977,108215,21643,3.570996464,22.73640385,145,lunge,-0.092622722,14.08864751,4.433824727,1.266471554,3.167353172,14.18127023,mn13_109a,2013-04-19 15:27:00,NA,NA
