"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"55",55,83,82,17.8046368888986,22353.4,-0.105661899904156,22273.4,80,1,1,"none",31.2,49,0.389027431421446,0.610972568578554
"56",56,84,83,20.3008634718713,22457.4,-0.110569122559138,22353.4,104,1,1,"none",36.6,67.6,0.351247600767754,0.648752399232246
"57",57,85,84,21.9258520578073,22662.2,-0.141230432119794,22457.4,204.799999999999,1,1,"none",32.8,172.2,0.16,0.84
"58",58,86,85,20.1421166154264,22823.8,-0.102513165386142,22662.2,161.599999999999,0,1,"none",43.2,118.6,0.266996291718171,0.733003708281829
"59",59,87,86,12.9558602374311,23016.6,-0.145232255882746,22823.8,192.799999999999,0,1,"none",176.2,16.8,0.912953367875648,0.0870466321243523
"60",60,92,91,23.4987332749561,23715.8,-0.0975656412973613,23016.6,699.200000000001,1,1,"none",526,173.4,0.752073205604804,0.247926794395196
"61",61,93,92,22.1611927726208,23880.6,-0.121698628765618,23715.8,164.799999999999,2,1,"none",59.6,105.4,0.361212121212121,0.638787878787879
"62",62,94,93,21.5529539846829,24074.2,-0.11269454068858,23880.6,193.600000000002,1,1,"none",39,154.8,0.201238390092879,0.798761609907121
"63",63,95,94,15.6290995004255,24148.6,-0.112577161809096,24074.2,74.3999999999978,1,1,"none",35.2,39.4,0.471849865951743,0.528150134048257
"64",64,96,95,21.3898307393613,24297.4,-0.0989326101260968,24148.6,148.800000000003,2,1,"none",58.2,90.8,0.390604026845638,0.609395973154362
"65",65,97,96,22.6304132818134,24579.8,-0.0733897544389155,24297.4,282.399999999998,0,1,"none",39.4,243.2,0.139419674451522,0.860580325548478
"66",66,98,97,26.0935108935656,24820.6,-0.125225389867028,24579.8,240.799999999999,2,1,"none",95.4,145.6,0.395850622406639,0.604149377593361
"67",67,99,98,18.7408763594204,24889.4,-0.123412208732733,24820.6,68.8000000000029,1,1,"none",36.2,32.8,0.52463768115942,0.47536231884058
"68",68,100,99,23.6523263853707,25024.6,-0.133351951182666,24889.4,135.199999999997,2,1,"none",56.2,79.2,0.41506646971935,0.58493353028065
"69",69,101,100,23.3454156505831,25183,-0.085635439856711,25024.6,158.400000000001,2,1,"none",49.2,109.4,0.310214375788146,0.689785624211854
"70",70,102,101,24.3661071957295,25338.2,-0.123144384274294,25183,155.200000000001,2,1,"none",55.2,100.2,0.355212355212355,0.644787644787645
"71",71,103,102,16.3183198780591,25383.8,-0.0936191749104349,25338.2,45.5999999999985,1,1,"none",30.4,15.4,0.663755458515284,0.336244541484716
"72",72,104,103,21.1728226266519,25445.4,-0.141818125624765,25383.8,61.6000000000022,1,1,"none",30.6,31.2,0.495145631067961,0.504854368932039
"73",73,105,104,21.6391587116649,25527,-0.108087152074972,25445.4,81.5999999999985,1,1,"lunges at the bottom of the dive not the top",28.6,53.2,0.349633251833741,0.650366748166259
"74",74,106,105,20.2037558365918,25593.4,-0.109246810910689,25527,66.4000000000015,1,1,"none",29,37.6,0.435435435435435,0.564564564564565
"75",75,107,106,22.9233862815503,25699,-0.121390593283717,25593.4,105.599999999999,2,1,"none",53,52.8,0.500945179584121,0.499054820415879
"76",76,108,107,24.2824908673317,25862.2,-0.109581731830472,25699,163.200000000001,2,1,"none",55.2,108.2,0.337821297429621,0.662178702570379
"77",77,109,108,18.1722178646297,25950.2,-0.107915104588709,25862.2,88,2,1,"none",54.6,33.6,0.619047619047619,0.380952380952381
"78",78,110,109,23.5505243044975,26042.2,-0.112525849386039,25950.2,92,1,1,"none",26.6,65.6,0.288503253796095,0.711496746203904
"79",79,111,110,33.3150433976366,26415.8,-0.0660850211990489,26042.2,373.599999999999,2,3,"none",73.8,300,0.197431781701445,0.802568218298555
"80",80,112,111,22.0707720839718,26549.4,-0.109245048168084,26415.8,133.600000000002,1,1,"none",34.8,99,0.260089686098655,0.739910313901345
"81",81,113,112,22.9616153893368,26799.8,-0.077947456050758,26549.4,250.399999999998,2,1,"wrong lunge detected",55.2,195.4,0.220271348762969,0.779728651237031
"82",82,114,113,20.0711353781469,26863.8,-0.058049748732774,26799.8,64,0,1,"none",29.8,34.4,0.46417445482866,0.53582554517134
"83",83,115,114,24.1955129871614,27139,-0.0880749079350966,26863.8,275.200000000001,1,1,"none",30.8,244.6,0.111837327523602,0.888162672476398
"84",84,116,115,22.3739835644635,27212.6,-0.0836923601325523,27139,73.5999999999985,1,1,"none",29.4,44.4,0.398373983739837,0.601626016260163
"85",85,117,116,22.6947536958028,27271.8,-0.0853562237717771,27212.6,59.2000000000007,1,1,"none",27.6,31.8,0.464646464646465,0.535353535353535
"86",86,118,117,22.638794003732,27335.8,-0.103452254728431,27271.8,64,1,1,"none",31.6,32.6,0.492211838006231,0.507788161993769
"87",87,119,118,21.9326485721732,27427,-0.099035336884759,27335.8,91.2000000000007,2,1,"none",52.2,39.2,0.571115973741794,0.428884026258206
"88",88,120,119,22.7599878094211,27492.6,-0.086950834673539,27427,65.5999999999985,1,1,"none",28,37.8,0.425531914893617,0.574468085106383
"89",89,121,120,23.8852893916626,27620.6,-0.115381444266411,27492.6,128,2,1,"none",56.2,72,0.438377535101404,0.561622464898596
"90",90,122,121,25.1797078429514,27695.8,-0.118135757452565,27620.6,75.2000000000007,1,1,"none",28.2,47.2,0.374005305039788,0.625994694960212
"91",91,123,122,16.1870620093392,27736.6,-0.168561482110301,27695.8,40.7999999999993,1,1,"none",29.2,11.8,0.71219512195122,0.287804878048781
"92",92,124,123,21.4312582882462,27788.6,-0.139154675186395,27736.6,52,1,1,"none",27,25.2,0.517241379310345,0.482758620689655
"93",93,125,124,23.3822412098411,27846.2,-0.131488466796014,27788.6,57.6000000000022,1,1,"none",27.2,30.6,0.470588235294118,0.529411764705882
"94",94,126,125,22.9628785200343,27947.8,-0.105585961321969,27846.2,101.599999999999,2,1,"none",58.4,43.4,0.573673870333988,0.426326129666012
