"","X","Aw2.1","Aw2.2","Aw2.3","JiggleRMS","ans","head2","p2","pitch2","roll2","speedJJ","r","sec","p","pitch","roll","head","MSA","jerk","dive","speedFN","event","min.p","max.p","max.speed","min.speed","delta.speed","delta.p","tag"
"11796",11796,-0.139061825116194,-0.0317874250217449,1.03873866878217,-39.9371336018239,2.39341511469688,-0.744976731946451,145.040829918856,-0.133022808904048,-0.0305923990270482,2.39341511469688,11796,2359.2,145.040829918856,-15.2432910583545,-1.75281534942999,-42.6840225759805,0.475502822460474,9.97989019655057,"5",2.39341511469688,"lunge",136.675882279716,145.706162878114,2.9921712236273,1.11626469931672,1.87590652431058,9.03028059839798,"mn12_262a"
"12003",12003,-0.468381939861383,-0.128146480464286,0.796786181528715,-42.4375508928185,2.15780302518497,2.605696397136,157.155618711786,-0.525868677089357,-0.159463655271171,2.15780302518497,12003,2400.6,157.155618711786,-60.2601115506961,-9.13659443276717,149.295406248337,-0.656087107274197,13.5815916265348,"5",2.15780302518497,"lunge",155.782633511306,158.238111026517,3.02297838826764,1,2.12548673402028,2.45547751521102,"mn12_262a"
"12195",12195,0.251227681854793,-0.0673104650116445,0.981062410002248,-36.375671392943,2.7741026458431,-1.60288514646809,155.203885945024,0.2501264027655,-0.0685024161262325,2.7741026458431,12195,2439,155.203885945024,28.662374446505,-3.92489933048203,-91.8385539368303,0.146638387872216,13.6044842260374,"5",2.7741026458431,"lunge",145.965682389615,157.159036975809,3.1584656802518,1.12720250457515,2.03126317567665,11.193354586194,"mn12_262a"
"12390",12390,-0.461358738731607,-0.0151860603438429,0.827113400843781,-46.6861458020939,1.80941948767595,2.70537665746053,158.704088153284,-0.508735555667687,-0.0183582496197312,1.80941948767595,12390,2478,158.704088153284,-58.2968004560024,-1.05185022245825,155.006664465698,-0.517732934154748,11.0714967414178,"5",1.80941948767595,"lunge",156.009010672986,159.41413506783,2.66816759383556,1,1.74664112652297,3.40512439484399,"mn12_262a"
"12582",12582,0.676981106587372,-0.019362236325243,1.05112124339112,-37.0307135915908,2.69980316538579,-0.627059641299293,158.879214291827,0.572108198790707,-0.0184184716226985,2.69980316538579,12582,2516.4,158.879214291827,65.558770431078,-1.0553006890621,-35.9278709494368,2.45571857794698,9.70896192612288,"5",2.69980316538579,"lunge",155.343875883703,158.879214291827,2.94425753404528,1,1.95296642382315,3.53533840812401,"mn12_262a"
"12782",12782,-0.43396796664746,-0.0778052078449742,0.836554876809305,-37.136402140415,2.688003082413,2.53582954302075,158.261872870947,-0.476781538395687,-0.092739905652925,2.688003082413,12782,2556.4,158.261872870947,-54.635139799655,-5.31360518635405,145.292330379677,-0.533240390759337,11.9153735196999,"5",2.688003082413,"lunge",156.017365944215,158.765643475905,2.84541145455187,1,1.98753327755019,2.74827753169001,"mn12_262a"
"12974",12974,-0.0956124327720141,-0.0673713207627745,0.839497719536848,-36.997475151872,2.70352492012183,-0.689188652801131,157.145077987191,-0.113043439544323,-0.0800803187022911,2.70352492012183,12974,2594.8,157.145077987191,-12.9538239750639,-4.58826428370383,-39.4876010938118,-1.49446812923912,13.2070916783184,"5",2.70352492012183,"lunge",151.94879292084,157.8565451771,2.84941209820084,1,1.89149036618023,5.90775225626001,"mn12_262a"
"13177",13177,0.33402877376279,-0.0526074187423909,0.726189836372096,-35.39829728897,2.8887819397488,2.98045171649043,154.079402480515,0.430124907506423,-0.0723167372124342,2.8887819397488,13177,2635.4,154.079402480515,49.2886837271459,-4.14344383042915,170.767304397424,-1.95095137342611,11.8289211642974,"5",2.8887819397488,"lunge",144.834029496259,156.661445787547,2.92331564928557,1.09468064227752,1.82863500700805,11.827416291288,"mn12_262a"
"13333",13333,1.0398751324771,-0.292645595107005,0.787593153182669,-29.901283079,3.62792418746378,0.436560581645419,148.753961602692,0.891204551879643,-0.355759722948869,3.62792418746378,13333,2666.6,148.753961602692,102.124519011103,-20.3835306457137,25.0130788300589,3.30379840255638,28.322491392417,"5",3.62792418746378,"lunge",134.020432322378,150.047408068166,3.62792418746378,1.03172836792995,2.59619581953383,16.026975745788,"mn12_262a"
"14783",14783,-0.182476666822453,0.0360477202516685,1.06791627809637,-41.7768556666007,2.21770601094114,2.29152537524957,158.062888299096,-0.169142741735663,0.0337423815535628,2.21770601094114,14783,2956.6,158.062888299096,-19.3823304734496,1.93329605373923,131.294732648933,0.823696851820063,10.9481463738138,"6",2.21770601094114,"lunge",152.94364185356,158.39662336027,3.45573485660478,1.03798627878162,2.41774857782316,5.45298150671002,"mn12_262a"
